Name,Year,Month,ArticleCount,CitationCount
"Journal of the ACM","1957","April","12","93"
"Journal of the ACM","1957","January","28","138"
"Journal of the ACM","1957","July","11","32"
"Journal of the ACM","1958","April","7","30"
"Journal of the ACM","1958","January","16","129"
"Journal of the ACM","1958","July","8","51"
"Journal of the ACM","1960","April","8","66"
"Journal of the ACM","1960","January","14","160"
"Journal of the ACM","1960","July","3","805"
"Journal of the ACM","1961","April","12","439"
"Journal of the ACM","1961","January","23","236"
"Journal of the ACM","1961","July","12","218"
"Journal of the ACM","1962","April","7","139"
"Journal of the ACM","1962","January","20","667"
"Journal of the ACM","1962","July","10","271"
"Journal of the ACM","1963","April","11","267"
"Journal of the ACM","1963","January","25","212"
"Journal of the ACM","1963","July","13","194"
"Journal of the ACM","1964","April","11","161"
"Journal of the ACM","1964","January","23","444"
"Journal of the ACM","1964","July","9","65"
"Journal of the ACM","1965","April","16","104"
"Journal of the ACM","1965","January","28","1462"
"Journal of the ACM","1965","July","14","90"
"Journal of the ACM","1966","January","11","325"
"Journal of the ACM","1972","April","12","465"
"Journal of the ACM","1972","January","27","337"
"Journal of the ACM","1972","July","16","140"
"Journal of the ACM","1973","April","12","125"
"Journal of the ACM","1973","January","24","2242"
"Journal of the ACM","1973","July","18","207"
"Journal of the ACM","1974","April","17","400"
"Journal of the ACM","1974","January","28","1314"
"Journal of the ACM","1974","July","17","254"
"Journal of the ACM","1975","April","12","1197"
"Journal of the ACM","1975","January","28","1054"
"Journal of the ACM","1975","July","13","161"
"Journal of the ACM","1976","April","16","892"
"Journal of the ACM","1976","January","27","1121"
"Journal of the ACM","1976","July","18","529"
"Journal of the ACM","1977","April","13","488"
"Journal of the ACM","1977","January","10","949"
"Journal of the ACM","1977","July","15","327"
"Journal of the ACM","1978","April","12","322"
"Journal of the ACM","1978","January","30","652"
"Journal of the ACM","1978","July","14","301"
"Journal of the ACM","1979","April","3","66"
"Journal of the ACM","1979","January","28","615"
"Journal of the ACM","1979","July","14","336"
"Journal of the ACM","1980","April","16","1104"
"Journal of the ACM","1980","January","17","1092"
"Journal of the ACM","1980","July","13","279"
"Journal of the ACM","1981","April","12","343"
"Journal of the ACM","1981","January","26","995"
"Journal of the ACM","1981","July","14","535"
"Journal of the ACM","1982","April","18","261"
"Journal of the ACM","1982","January","29","962"
"Journal of the ACM","1982","July","17","702"
"Journal of the ACM","1985","April","12","983"
"Journal of the ACM","1985","January","20","1364"
"Journal of the ACM","1985","July","14","1142"
"Journal of the ACM","2003","January","31","367"
"Journal of the ACM","2003","July","8","175"
"Journal of the ACM","2003","March","4","76"
"Journal of the ACM","2003","November","5","147"
"Journal of the ACM","2003","September","5","302"
"Journal of the ACM","2004","January","9","510"
"Journal of the ACM","2004","July","7","434"
"Journal of the ACM","2004","March","7","90"
"Journal of the ACM","2004","November","6","236"
"Journal of the ACM","2004","September","4","155"
"Journal of the ACM","2005","January","7","454"
"Journal of the ACM","2005","July","7","230"
"Journal of the ACM","2005","March","7","101"
"Journal of the ACM","2005","November","4","121"
"Journal of the ACM","2005","September","5","121"
"Journal of the ACM","2006","January","13","291"
"Journal of the ACM","2006","July","4","30"
"Journal of the ACM","2006","March","4","26"
"Journal of the ACM","2006","November","4","230"
"Journal of the ACM","2006","September","6","56"
"Journal of the ACM","2007","April","6","89"
"Journal of the ACM","2007","December","6","68"
"Journal of the ACM","2007","July","6","61"
"Journal of the ACM","2007","June","5","182"
"Journal of the ACM","2007","March","4","151"
"Journal of the ACM","2007","October","5","124"
"Journal of the ACM","2008","December","4","42"
"Journal of the ACM","2008","February","5","64"
"Journal of the ACM","2008","January","6","144"
"Journal of the ACM","2008","July","4","51"
"Journal of the ACM","2008","October","5","173"
"Journal of the ACM","2008","September","1","14"
"Journal of the ACM","2009","April","6","119"
"Journal of the ACM","2009","August","4","47"
"Journal of the ACM","2009","January","12","148"
"Journal of the ACM","2009","June","6","122"
"Journal of the ACM","2009","November","4","72"
"Journal of the ACM","2009","September","6","119"
"Journal of the ACM","2010","April","7","42"
"Journal of the ACM","2010","December","4","11"
"Journal of the ACM","2010","January","7","184"
"Journal of the ACM","2010","June","4","80"
"Journal of the ACM","2010","March","8","53"
"Journal of the ACM","2010","October","4","17"
"Journal of the ACM","2011","April","4","41"
"Journal of the ACM","2011","December","7","51"
"Journal of the ACM","2011","January","5","84"
"Journal of the ACM","2011","July","5","11"
"Journal of the ACM","2011","October","5","15"
"Journal of the ACM","2012","April","5","22"
"Journal of the ACM","2012","August","5","17"
"Journal of the ACM","2012","December","5","33"
"Journal of the ACM","2012","February","5","15"
"Journal of the ACM","2012","June","6","11"
"Journal of the ACM","2012","October","6","7"
"Journal of the ACM","2013","April","9","29"
"Journal of the ACM","2013","August","7","12"
"Journal of the ACM","2013","February","6","52"
"Journal of the ACM","2013","June","7","44"
"Journal of the ACM","2013","November","6","49"
"Journal of the ACM","2013","October","10","30"
"Journal of the ACM","2014","April","6","7"
"Journal of the ACM","2014","August","5","0"
"Journal of the ACM","2014","January","13","43"
"Journal of the ACM","2014","July","8","0"
"Journal of the ACM","2014","November","9","5"
"Journal of the ACM","2015","August","5","0"
"Journal of the ACM","2015","December","8","0"
"Journal of the ACM","2015","February","9","0"
"Journal of the ACM","2015","January","8","0"
"Journal of the ACM","2015","June","8","0"
"Journal of the ACM","2015","November","12","0"
"Journal of the ACM","2016","January","9","0"
"Journal of the ACM","2016","March","10","0"
"Journal on Computing and Cultural Heritage","2008","June","6","51"
"Journal on Computing and Cultural Heritage","2008","October","6","18"
"Journal on Computing and Cultural Heritage","2009","December","2","44"
"Journal on Computing and Cultural Heritage","2009","July","4","35"
"Journal on Computing and Cultural Heritage","2009","November","2","2"
"Journal on Computing and Cultural Heritage","2010","February","1","13"
"Journal on Computing and Cultural Heritage","2010","June","2","27"
"Journal on Computing and Cultural Heritage","2010","September","5","40"
"Journal on Computing and Cultural Heritage","2011","April","2","9"
"Journal on Computing and Cultural Heritage","2011","August","3","20"
"Journal on Computing and Cultural Heritage","2011","December","6","11"
"Journal on Computing and Cultural Heritage","2011","March","5","70"
"Journal on Computing and Cultural Heritage","2011","November","4","32"
"Journal on Computing and Cultural Heritage","2012","April","4","10"
"Journal on Computing and Cultural Heritage","2012","December","5","38"
"Journal on Computing and Cultural Heritage","2012","July","4","10"
"Journal on Computing and Cultural Heritage","2012","October","4","11"
"Journal on Computing and Cultural Heritage","2013","January","5","17"
"Journal on Computing and Cultural Heritage","2013","July","4","2"
"Journal on Computing and Cultural Heritage","2013","March","5","9"
"Journal on Computing and Cultural Heritage","2013","November","5","4"
"Journal on Computing and Cultural Heritage","2014","August","5","0"
"Journal on Computing and Cultural Heritage","2014","February","5","0"
"Journal on Computing and Cultural Heritage","2014","July","9","15"
"Journal on Computing and Cultural Heritage","2015","August","5","0"
"Journal on Computing and Cultural Heritage","2015","February","14","17"
"Journal on Computing and Cultural Heritage","2015","January","6","2"
"Journal on Computing and Cultural Heritage","2015","March","5","0"
"Journal on Computing and Cultural Heritage","2016","February","6","0"
"Journal on Computing and Cultural Heritage","2016","January","2","0"
